record_type,pair,direction,notional_local,notional_label,usd_equiv,hedge_pct,instrument,status,trade_date,contract_rate,maturity,mtm_usd,counterparty,rating,band_lo,band_hi
exposure,EUR/USD,net_long_EUR,72000000,€72M,78500000,76,Forwards,within_band,,,,,,,50,100
exposure,GBP/USD,net_long_GBP,31000000,£31M,39400000,81,Forwards,within_band,,,,,,,50,100
exposure,SGD/USD,net_long_SGD,38000000,S$38M,28200000,60,Forwards,within_band,,,,,,,50,100
exposure,INR/USD,net_long_INR,1200000000,₹1.2B,14400000,40,Options collar,below_band,,,,,,,50,100
exposure,BRL/USD,net_long_BRL,48000000,R$48M,9600000,0,Unhedged,flagged,,,,,,,50,100
forward,EUR/USD,,25000000,€25.0M,,,Forward,open,2026-03-12,1.0840,2026-09-30,184000,BNP Paribas,A-1+,,
forward,EUR/USD,,18000000,€18.0M,,,Forward,open,2026-04-02,1.0795,2026-12-31,121000,Citi,A-1,,
forward,EUR/USD,,12500000,€12.5M,,,Forward,open,2026-05-21,1.0902,2026-06-30,-38000,BNP Paribas,A-1+,,
forward,GBP/USD,,15000000,£15.0M,,,Forward,open,2026-02-28,1.2615,2026-08-29,142000,HSBC,A-1,,
forward,GBP/USD,,12000000,£12.0M,,,Forward,open,2026-04-18,1.2710,2026-06-30,47000,HSBC,A-1,,
forward,SGD/USD,,22000000,S$22.0M,,,Forward,open,2026-05-09,0.7405,2026-11-28,63000,Citi,A-1,,
forward,SGD/USD,,6000000,S$6.0M,,,Forward,open,2026-05-30,0.7388,2026-08-29,-9000,Citi,A-1,,
forward,INR/USD,,400000000,₹40.0Cr,,,Put option,open,2026-03-25,83.40,2026-10-31,102000,Citi,A-1,,
forward,INR/USD,,400000000,₹40.0Cr,,,Call sold,open,2026-03-25,85.20,2026-10-31,0,Citi,A-1,,
