scope,submarket,month,median_price,dom,months_supply,sale_to_list,closed_sales,active_listings
submarket,Riverside Heights,2026-05,712000,14,1.6,102.4,38,61
submarket,Old Town Eastside,2026-05,598000,18,2.0,101.0,44,88
submarket,Maple Grove,2026-05,534000,22,2.7,100.2,29,78
submarket,Cedar Bluff,2026-05,889000,31,3.9,99.1,17,66
submarket,Harbor District,2026-05,1240000,58,6.4,96.8,9,58
submarket,Riverside Heights,2026-04,705000,16,1.7,102.0,35,64
submarket,Old Town Eastside,2026-04,591000,20,2.1,100.6,40,91
submarket,Maple Grove,2026-04,528000,24,2.9,99.9,26,80
submarket,Cedar Bluff,2026-04,878000,34,4.1,98.7,15,68
submarket,Harbor District,2026-04,1228000,61,6.7,96.2,8,60
market,All submarkets,2025-06,598000,26,3.0,99.4,121,402
market,All submarkets,2025-07,604000,24,2.9,99.6,128,398
market,All submarkets,2025-08,609000,23,2.8,99.8,134,389
market,All submarkets,2025-09,601000,25,2.9,99.5,118,401
market,All submarkets,2025-10,615000,23,2.7,100.1,112,386
market,All submarkets,2025-11,622000,22,2.6,100.3,98,372
market,All submarkets,2025-12,618000,24,2.7,100.0,86,368
market,All submarkets,2026-01,629000,23,2.5,100.4,91,361
market,All submarkets,2026-02,633000,21,2.4,100.7,104,358
market,All submarkets,2026-03,640000,20,2.3,100.9,127,366
market,All submarkets,2026-04,636000,20,2.2,101.0,124,363
market,All submarkets,2026-05,642000,19,2.1,101.3,137,371
tier,< $500K,2026-05,448000,16,1.4,102.1,41,52
tier,$500-700K,2026-05,612000,21,2.0,101.2,68,121
tier,$700K-1M,2026-05,842000,37,3.4,99.6,22,118
tier,$1-1.2M,2026-05,1095000,54,5.1,98.0,4,42
tier,> $1.2M,2026-05,1480000,71,6.9,96.4,2,38
mix,Single-family detached,2026-05,,,,,214,214
mix,Townhome / row,2026-05,,,,,83,83
mix,Condo / co-op,2026-05,,,,,61,61
mix,Multi-family (2-4 unit),2026-05,,,,,13,13
