id,brand,format,hook_line,hold_rate,why_it_works,niche
SW-001,Glossier,POV-testimonial,"POV: your skin barrier finally healed and now you just need one thing",71%,Face-first open plus a relatable problem named in the first second,Beauty
SW-002,AG1,Skeptic-believer,"I tried it for 30 days so you don't have to",63%,Time-bound promise creates payoff tension and earns the watch,Wellness
SW-003,Ritual,Contrarian,"the only vitamin I actually take and it's not the one you think",56%,First-person endorsement with no logo open builds trust before the sell,Wellness
SW-004,Olipop,Before-after,"fridge restock then the first cold sip",52%,Visual ASMR plus a genuine reaction beats any voiceover claim,Beverage
SW-005,Caraway,Demo,"the egg-slide test that finally sold me on a new pan",49%,One undeniable proof moment does the whole job,Home
SW-006,Liquid Death,Contrarian,"don't buy water until you watch this",48%,Pattern-interrupt hook plus humor stops the scroll cold,Beverage
SW-007,Topicals,Before-after,"8 weeks on my hyperpigmentation - unedited",46%,Real transformation timeline with no filter reads as honest,Beauty
SW-008,Jones Road,Listicle,"3 things nobody tells you about cream blush",44%,Listicle hook plus insider framing promises specific value,Beauty
SW-009,Native,Skeptic-believer,"I switched deodorants and here's the honest truth",41%,Honest-review framing disarms the ad detector,Wellness
SW-010,Alo Yoga,POV,"get ready with me for a 6am flow",38%,Aspirational lifestyle b-roll sells the identity not the product,Fitness
