ref,amount_usd,beneficiaries,entity,ccy,lane,initiator,first_approver,first_approval_at,current_approver,sla,ofac,audit_entries,run_id
AP-0617-EU,684200,58,Cobalt EMEA Ltd,EUR,drafted,Hana Kwon,,,,,clear,4,RUN-2026-0614-AM
PAYR-2026-13B,412500,31,Cobalt Payments LLC,USD,drafted,Rafael Diaz,,,,,clear,3,RUN-2026-0614-AM
TAX-EST-Q2-US,1205000,1,Cobalt Holdings Inc,USD,drafted,Daniel Osei,,,,,clear,2,RUN-2026-0614-AM
AP-0614-EU,486900,73,Cobalt EMEA Ltd,EUR,pending_review,Hana Kwon,,,Lucas Ferreira,warn,clear,6,RUN-2026-0614-AM
WIRE-VENDOR-NEW,250000,1,Cobalt Holdings Inc,USD,pending_review,Rafael Diaz,,,Sofia Castellano,held,review,9,RUN-2026-0614-AM
AP-0614-APAC,921400,46,Cobalt Asia Pte Ltd,SGD,pending_review,Rafael Diaz,,,Priya Nair,ok,clear,5,RUN-2026-0614-AM
AP-0614-US,1940000,142,Cobalt Holdings Inc,USD,pending_2nd_approval,Lucas Ferreira,Sofia Castellano,2026-06-14T09:12:00Z,Martin Okonkwo,warn,clear,11,RUN-2026-0614-AM
WIRE-ACQ-ESCROW,6750000,1,Cobalt Holdings Inc,USD,pending_2nd_approval,Maya Restrepo,Adaeze Mba,2026-06-14T08:47:00Z,Martin Okonkwo,ok,clear,14,RUN-2026-0614-AM
AP-0614-LATAM,1318700,64,Cobalt LatAm Ltda,BRL,pending_2nd_approval,Hana Kwon,Priya Nair,2026-06-14T09:18:00Z,Maya Restrepo,ok,clear,8,RUN-2026-0614-AM
PAYR-2026-13,3120000,884,Cobalt Payments LLC,USD,released,Lucas Ferreira,Sofia Castellano,2026-06-14T07:41:00Z,Martin Okonkwo,done,clear,17,RUN-2026-0614-AM
AP-0613-US,742300,97,Cobalt Holdings Inc,USD,released,Rafael Diaz,,,Priya Nair,done,clear,7,RUN-2026-0614-AM
WIRE-RENT-Q2,1080000,6,Cobalt EMEA Ltd,EUR,released,Hana Kwon,Lucas Ferreira,2026-06-14T07:58:00Z,Martin Okonkwo,done,clear,12,RUN-2026-0614-AM
AP-0614-DUP,318400,22,Cobalt Holdings Inc,USD,rejected,Rafael Diaz,,,Lucas Ferreira,done,clear,5,RUN-2026-0614-AM
WIRE-OFFSHORE-01,540000,1,Cobalt Asia Pte Ltd,USD,rejected,Daniel Osei,,,Sofia Castellano,done,hold,13,RUN-2026-0614-AM
