brand,product,category,gender,price_usd,heritage_index,construction,source
Tecovas,The Cartwright,boot,men,235,72,Goodyear welt,pdp
Tecovas,The Annie,boot,women,245,68,Goodyear welt,pdp
Tecovas,The Doc,boot,men,295,74,Goodyear welt,pdp
Tecovas,The Jamie,boot,women,265,70,Goodyear welt,pdp
Tecovas,The Cole (exotic),boot,men,595,80,Goodyear welt,pdp
Thursday,Cavalier,boot,men,199,38,Goodyear welt,pdp
Thursday,Vanguard,boot,men,239,40,Goodyear welt,pdp
Thursday,Duchess,boot,women,199,42,Blake stitch,pdp
Thursday,Captain (premium),boot,men,399,46,Goodyear welt,pdp
Ariat,Sport Western,boot,men,280,66,Advanced Torque Stability,pdp
Ariat,Heritage Roper,boot,men,180,78,Goodyear welt,pdp
Ariat,Fatbaby,boot,women,160,60,Duratread,pdp
Ariat,Quantum Pro (work),boot,men,650,70,Goodyear welt,pdp
Lucchese,Classics Baron,boot,men,595,94,handmade Goodyear welt,pdp
Lucchese,Smooth Ostrich,boot,men,1200,96,handmade exotic,pdp
Lucchese,Priscilla,boot,women,650,92,handmade,pdp
Idyllwind,Wheeler,boot,women,330,52,Goodyear welt,pdp
Idyllwind,Outlaw,boot,women,440,55,Goodyear welt,pdp
Idyllwind,Boot Daddy (exotic),boot,women,595,58,handmade,pdp
