date,value_date,counterparty,entity,currency,category,method,amount_local,amount_usd,ref,status,reconciled
2026-05-14,2026-05-16,Flexport Inc.,Cobalt UK Ltd.,GBP,AP run,SEPA,-524522,-666667,AP-0514-01,posted,true
2026-05-14,2026-05-14,Aperture Devices,Cobalt APAC Pte.,SGD,AR collection,Wire,2353569,1741641,AR-0514-01,posted,true
2026-05-14,2026-05-14,Veridian Industries,Cobalt Inc.,USD,AR collection,ACH,1695847,1695847,AR-0514-02,posted,true
2026-05-14,2026-05-16,Sequoia Components,Cobalt Europe B.V.,EUR,AR collection,SEPA,1007994,1092867,AR-0514-03,posted,true
2026-05-14,2026-05-16,Cascade Health Systems,Cobalt Inc.,USD,AR collection,ACH,1505807,1505807,AR-0514-04,posted,true
2026-05-14,2026-05-14,JPMorgan Chase,Cobalt Europe B.V.,EUR,MMF sweep,Internal,-10759240,-11665168,SWEEP-0514-01,posted,true
2026-05-15,2026-05-15,Marsh Insurance,Cobalt Inc.,USD,AP run,ACH,-900920,-900920,AP-0515-01,posted,true
2026-05-15,2026-05-17,Workday Inc.,Cobalt UK Ltd.,GBP,AP run,SEPA,-431073,-547894,AP-0515-02,posted,true
2026-05-15,2026-05-15,Salesforce Inc.,Cobalt UK Ltd.,GBP,AP run,SEPA,-544458,-692006,AP-0515-03,posted,true
2026-05-15,2026-05-17,WeWork Companies,Cobalt Inc.,USD,AP run,ACH,-920493,-920493,AP-0515-04,posted,true
2026-05-15,2026-05-15,Workday Inc.,Cobalt UK Ltd.,GBP,AP run,SEPA,-624351,-793550,AP-0515-05,posted,true
2026-05-15,2026-05-15,Flexport Inc.,Cobalt UK Ltd.,GBP,AP run,SEPA,-533701,-678334,AP-0515-06,posted,true
2026-05-15,2026-05-15,Pinnacle Software Ltd,Cobalt Inc.,USD,AR collection,ACH,1190886,1190886,AR-0515-01,posted,true
2026-05-15,2026-05-16,Cascade Health Systems,Cobalt Inc.,USD,AR collection,ACH,1631513,1631513,AR-0515-02,posted,true
2026-05-15,2026-05-15,Sterling Retail Group,Cobalt Europe B.V.,EUR,AR collection,SEPA,2112539,2290415,AR-0515-03,posted,true
2026-05-15,2026-05-15,Greenfield Energy,Cobalt Inc.,USD,AR collection,ACH,2343232,2343232,AR-0515-04,posted,true
2026-05-15,2026-05-17,Vantage Pharma,Cobalt Europe B.V.,EUR,AR collection,SEPA,1677569,1818820,AR-0515-05,posted,true
2026-05-15,2026-05-17,BlueRiver Manufacturing,Cobalt Europe B.V.,EUR,AR collection,SEPA,1092589,1184585,AR-0515-06,posted,true
2026-05-15,2026-05-16,Aperture Devices,Cobalt Inc.,USD,AR collection,ACH,1568713,1568713,AR-0515-07,posted,true
2026-05-15,2026-05-15,Cobalt Inc.,Cobalt APAC Pte.,SGD,Intercompany,Wire,1814323,1342599,ICO-0515-01,posted,true
2026-05-15,2026-05-15,ADP Payroll,Cobalt Inc.,USD,Payroll,ACH,-3201859,-3201859,PAYR-0515-01,posted,true
2026-05-15,2026-05-15,ADP Payroll,Cobalt Europe B.V.,EUR,Payroll,SEPA,-1193176,-1293641,PAYR-0515-02,posted,true
2026-05-15,2026-05-15,ADP Payroll,Cobalt UK Ltd.,GBP,Payroll,FPS,-865424,-1099954,PAYR-0515-03,posted,true
2026-05-15,2026-05-16,ADP Payroll,Cobalt APAC Pte.,SGD,Payroll,Wire,-1490797,-1103190,PAYR-0515-04,posted,true
2026-05-15,2026-05-15,Brex Treasury,Cobalt Inc.,USD,MMF sweep,Internal,-8055540,-8055540,SWEEP-0515-01,posted,true
2026-05-15,2026-05-15,IRS,Cobalt Inc.,USD,Tax payment,Wire,-2231870,-2231870,TAX-0515-FED,posted,true
2026-05-18,2026-05-20,McKinsey & Company,Cobalt Inc.,USD,AP run,ACH,-386782,-386782,AP-0518-01,posted,true
2026-05-18,2026-05-18,BlueRiver Manufacturing,Cobalt Europe B.V.,EUR,AR collection,SEPA,1390347,1507414,AR-0518-01,posted,true
2026-05-18,2026-05-19,Orion Semiconductor,Cobalt Inc.,USD,AR collection,ACH,1771528,1771528,AR-0518-02,posted,true
2026-05-18,2026-05-18,BlueRiver Manufacturing,Cobalt Inc.,USD,AR collection,ACH,1605614,1605614,AR-0518-03,posted,true
2026-05-18,2026-05-19,Brex Treasury,Cobalt Inc.,USD,Interest,Internal,188735,188735,INT-0518-01,posted,true
2026-05-18,2026-05-18,JPMorgan Chase,Cobalt Inc.,USD,Interest,Internal,103779,103779,INT-0518-02,posted,true
2026-05-18,2026-05-18,JPMorgan Chase,Cobalt Inc.,USD,MMF sweep,Internal,-8810200,-8810200,SWEEP-0518-01,posted,true
2026-05-19,2026-05-19,Salesforce Inc.,Cobalt Inc.,USD,AP run,ACH,-448195,-448195,AP-0519-01,posted,true
2026-05-19,2026-05-21,AWS EMEA SARL,Cobalt UK Ltd.,GBP,AP run,SEPA,-337306,-428716,AP-0519-02,posted,true
2026-05-19,2026-05-19,Workday Inc.,Cobalt UK Ltd.,GBP,AP run,SEPA,-701991,-892231,AP-0519-03,posted,true
2026-05-19,2026-05-19,Veridian Industries,Cobalt Inc.,USD,AR collection,ACH,2580123,2580123,AR-0519-01,posted,true
2026-05-19,2026-05-19,Greenfield Energy,Cobalt APAC Pte.,SGD,AR collection,Wire,1343310,994049,AR-0519-02,posted,true
2026-05-19,2026-05-19,Northwind Logistics,Cobalt Europe B.V.,EUR,AR collection,SEPA,1330699,1442744,AR-0519-03,posted,true
2026-05-19,2026-05-20,Sterling Retail Group,Cobalt Inc.,USD,AR collection,ACH,1400536,1400536,AR-0519-04,posted,true
2026-05-19,2026-05-20,Cascade Health Systems,Cobalt Inc.,USD,AR collection,ACH,1505015,1505015,AR-0519-05,posted,true
2026-05-19,2026-05-19,Greenfield Energy,Cobalt Inc.,USD,AR collection,ACH,1769255,1769255,AR-0519-06,posted,true
2026-05-19,2026-05-19,Equinix Data Centers,Cobalt Inc.,USD,Capex,Wire,-1820000,-1820000,CAPX-0519-01,posted,true
2026-05-19,2026-05-20,JPMorgan Chase,Cobalt Inc.,USD,MMF sweep,Internal,11178808,11178808,SWEEP-0519-01,posted,true
2026-05-20,2026-05-20,Salesforce Inc.,Cobalt Inc.,USD,AP run,ACH,-682450,-682450,AP-0520-01,posted,true
2026-05-20,2026-05-21,AWS EMEA SARL,Cobalt Europe B.V.,EUR,AP run,SEPA,-559774,-606907,AP-0520-02,posted,true
2026-05-20,2026-05-20,Marsh Insurance,Cobalt Inc.,USD,AP run,ACH,-353595,-353595,AP-0520-03,posted,true
2026-05-20,2026-05-20,AWS EMEA SARL,Cobalt UK Ltd.,GBP,AP run,SEPA,-399251,-507448,AP-0520-04,posted,true
2026-05-20,2026-05-22,McKinsey & Company,Cobalt Inc.,USD,AP run,ACH,-762295,-762295,AP-0520-05,posted,true
2026-05-20,2026-05-20,Flexport Inc.,Cobalt Inc.,USD,AP run,ACH,-317173,-317173,AP-0520-06,posted,true
2026-05-20,2026-05-22,Veridian Industries,Cobalt Inc.,USD,AR collection,ACH,2001559,2001559,AR-0520-01,posted,true
