entity,account_name,counterparty,currency,account_type,balance_usd,rating,trapped
Cobalt Inc.,US Operating Main,JPMorgan,USD,Operating,98412700,A-1,false
Cobalt Inc.,Govt MMF Sweep,JPMorgan,USD,MMF sweep,48386500,AAAm,false
Cobalt Inc.,DSRA Collateral,JPMorgan,USD,Collateral,17500000,A-1,true
Cobalt Treasury Corp.,Treasury Concentration,JPMorgan,USD,Operating,32140800,A-1,false
Cobalt Inc.,US Operating Secondary,Citibank,USD,Operating,70528300,A-1,false
Cobalt Inc.,Tax Reserve,Citibank,USD,Restricted,14620000,A-1,false
Cobalt UK Ltd.,UK Operating,Citibank,GBP,Operating,41382600,A-1,false
Cobalt do Brasil Ltda.,Brazil Operating,Citibank,BRL,Restricted,9784300,A-1,true
Cobalt Europe B.V.,EU Pooling Header,HSBC,EUR,ZBA,54218900,A-1,false
Cobalt APAC Pte.,Singapore Operating,HSBC,SGD,Operating,24176400,A-1,false
Cobalt Europe B.V.,EU FX Settlement,BNP Paribas,EUR,Operating,40312500,A-1,false
Cobalt India Pvt. Ltd.,India Operating,Standard Chartered,INR,Restricted,14538900,A-2,true
Cobalt APAC Pte.,APAC Payroll ZBA,Standard Chartered,SGD,ZBA,4512300,A-2,false
Cobalt Inc.,Brex Govt MMF,Brex Treasury,USD,MMF sweep,26108700,AAAm,false
