sku,title,category,price,original_price,in_stock,color,material,url
TC-BT-0101,The Duke,boots,295,295,true,Bourbon,Bovine Leather,https://www.tecovas.com/products/the-duke
TC-BT-0102,The Cartwright,boots,325,325,true,Cigar,Bovine Leather,https://www.tecovas.com/products/the-cartwright
TC-BT-0103,The Earl,boots,375,375,true,Midnight,Lizard Print,https://www.tecovas.com/products/the-earl
TC-BT-0104,The Doc,boots,295,295,true,Black Cherry,Bovine Leather,https://www.tecovas.com/products/the-doc
TC-BT-0105,The Cole,boots,335,335,false,Slate,Roughout Suede,https://www.tecovas.com/products/the-cole
TC-BT-0106,The Wyatt,boots,295,295,true,Honey,Bovine Leather,https://www.tecovas.com/products/the-wyatt
TC-BT-0107,The Dillon,boots,345,345,true,Walnut,Calfskin,https://www.tecovas.com/products/the-dillon
TC-BT-0108,The Jared,boots,395,395,true,Cognac,Caiman Print,https://www.tecovas.com/products/the-jared
TC-BT-0109,The Knox,boots,295,295,true,Bone,Bovine Leather,https://www.tecovas.com/products/the-knox
TC-BT-0110,The Marshall,boots,495,495,false,Chocolate,Bullhide,https://www.tecovas.com/products/the-marshall
TC-BT-0201,The Annie,boots,245,245,true,Blanco,Bovine Leather,https://www.tecovas.com/products/the-annie
TC-BT-0202,The Jamie,boots,265,265,true,Pecan,Bovine Leather,https://www.tecovas.com/products/the-jamie
TC-BT-0203,The Daisy,boots,255,255,true,Sand,Suede,https://www.tecovas.com/products/the-daisy
TC-BT-0204,The Penny,boots,275,275,true,Cordovan,Calfskin,https://www.tecovas.com/products/the-penny
TC-BT-0205,The Nora,boots,295,295,false,Espresso,Bovine Leather,https://www.tecovas.com/products/the-nora
TC-BT-0206,The Star,boots,295,295,true,Tan,Embroidered Leather,https://www.tecovas.com/products/the-star
TC-BT-0207,The Bethany,boots,335,335,true,Pearl,Lizard Print,https://www.tecovas.com/products/the-bethany
TC-BT-0208,The Vivian,boots,365,365,true,Wine,Suede,https://www.tecovas.com/products/the-vivian
TC-BT-0209,The Shyanne,boots,245,245,true,Stone,Bovine Leather,https://www.tecovas.com/products/the-shyanne
TC-BT-0210,The Maddie,boots,285,285,false,Saddle,Calfskin,https://www.tecovas.com/products/the-maddie
TC-BO-0301,The Travis,boots,365,365,true,Whiskey,Bovine Leather,https://www.tecovas.com/products/the-travis
TC-BO-0302,The Sadie Bootie,boots,235,235,true,Black,Suede,https://www.tecovas.com/products/the-sadie
TC-BO-0303,The Daniel Chelsea,boots,255,255,true,Cigar,Bovine Leather,https://www.tecovas.com/products/the-daniel
TC-BO-0304,The Roy Roper,boots,255,255,true,Cognac,Bovine Leather,https://www.tecovas.com/products/the-roy
TC-BO-0305,The Hudson Lace-Up,boots,275,275,false,Brown,Roughout Suede,https://www.tecovas.com/products/the-hudson
TC-AP-0401,The Western Snap Shirt,apparel,89,89,true,Faded Indigo,Cotton Twill,https://www.tecovas.com/products/western-snap-shirt
TC-AP-0402,The Pearl Snap,apparel,79,79,true,Sage,Cotton,https://www.tecovas.com/products/pearl-snap
TC-AP-0403,The Ranch Jacket,apparel,225,225,true,Tobacco,Waxed Canvas,https://www.tecovas.com/products/ranch-jacket
